序号,目标编号,任务,开始准备时刻(s),任务执行时刻(s),方向角(deg),归一化最小裕度,准备窗最小距离(m),准备窗最大距离(m),准备窗最大速度(m/s),准备窗最大加速度(m/s²)
1,P17,拍照,445.01,445.51,149.96319641285115,0.3990053810819157,27.73033445008454,28.02983856754253,0.6014368100031932,0.02202458129566406
2,S06,射击,446.01,447.51,55.222568426892664,0.056142345281963095,6.403558632049077,6.582603618798009,0.5328227345733323,0.4493052731248202
3,S05,射击,448.01,449.51,39.72295264336013,0.3997724272447353,14.994310681118382,15.34063759377134,0.424630769237482,0.39404117371104413
4,P18,拍照,450.21,450.71,169.27811800497943,0.2888514633426516,31.319528646839885,31.33445609972045,0.4156894956859961,0.42968591589112975
5,P08,拍照,450.91,451.41,249.91173163012786,0.26294920701514596,32.05206567658241,32.11152378954562,0.3815010596973475,0.7335891495736606
6,P14,拍照,451.51,452.01,84.803135911766,0.3550369509681121,20.651108529043363,20.71748093425872,0.7285540437228226,0.7834625853317327
7,P05,拍照,452.11,452.61,295.98887879152136,0.3223943904675461,30.312342712017042,30.328168285973618,1.0029218005185545,0.7377352579644318
8,S08,射击,453.01,454.51,164.1892958808553,0.22569414648924294,10.642353662231073,11.119220262662047,0.9907935060208253,1.0047141678714646
9,P04,拍照,454.61,455.11,316.737905842583,0.42856905677659884,27.031898162582614,27.142928296702035,0.6025393926363515,0.8548438004863452
10,P09,拍照,455.21,455.71,210.43206878721952,0.4811628662559722,24.434885987679166,24.753417070734834,0.6636768928679563,0.26337133941849206
11,P03,拍照,456.01,456.51,345.1658416589032,0.30539685133988603,30.64331778597736,30.83809445980342,0.5344698666901821,0.5113739687902703
12,P12,拍照,457.01,457.51,43.6793377402464,0.48187661435080203,25.529998178536726,25.54370156947594,0.1645834490780534,0.24225351735017436
13,S07,射击,458.01,459.51,99.09891101309793,0.3964880111805957,14.912200279514892,14.998670937376735,0.34260804233850245,0.6202917517168716
14,S09,射击,459.71,461.21,151.91198517414063,0.37948810263525556,20.368760249346156,20.51279743411861,1.2307377834344349,0.7948045753929569
15,S03,射击,462.01,463.51,21.900242824948435,0.04913869445568906,27.63482603231224,28.771532638607773,1.2817461292502732,1.1088512645769357
16,P11,拍照,463.81,464.31,7.930016137966942,0.3318389716563006,29.439689379219047,29.572521538577384,0.8519431030080437,1.002241542515549
17,S04,射击,464.41,465.91,3.891514311083738,0.4551315718331806,17.435248911764486,18.621710704170486,1.0231972455888538,0.8105810809717428
18,P07,拍照,466.01,466.51,258.9210426365849,0.34290765347859586,20.287229604357876,20.316926602157004,0.9052210860194312,0.764645104783633
19,P16,拍照,466.61,467.11,126.29323756010892,0.42407476289854246,26.92375486686593,27.277757113043727,0.8288716804757277,0.7436122845527486
20,P13,拍照,467.21,467.71,29.772724060140046,0.0602562970489777,11.80768891146933,11.86330387539407,0.5623882286083861,1.091015164130156
21,P06,拍照,467.81,468.31,302.07679612490927,0.004494076707292649,10.13482230121878,10.247601991845931,0.7600171920802669,1.2489581731891204
22,P15,拍照,468.41,468.91,138.11456429755947,0.013945674913123145,10.418370247393694,10.95207495349932,1.4656042347814584,1.2611608008373254
23,S02,射击,476.81,478.31,31.794007841765794,0.13841000560573355,8.460250140143339,10.471753819302895,1.717399238873417,0.9054189227901801
24,S01,射击,478.51,480.01,40.83504874079337,0.11250146313795728,14.1657955013543,16.444497928300283,1.7749970737240854,0.4381496600774745
25,P14,拍照,480.51,481.01,145.9550465088864,0.025082959421452482,34.920066449526274,35.29805068630139,1.4623755608678213,0.4363182734476614
26,P02,拍照,481.21,481.71,286.3885451814413,0.20564549811285282,23.59682058332176,23.650715284451586,1.1915317528307208,0.6604456185840851
27,P06,拍照,481.81,482.31,195.352820290271,0.006901834303346306,27.60982747893827,28.220773893341867,1.4896472485449805,0.8816989365972483
28,P11,拍照,492.41,492.91,144.1781522587861,0.01068955879866973,27.067343694318122,27.433544505104997,1.4839656618019954,1.3718250592086343
29,P10,拍照,493.01,493.51,112.02228132727996,0.37025512389943127,28.61560066487748,28.892346283017062,0.8421953190711474,0.9165980814256447
30,P03,拍照,493.61,494.11,172.19423915111733,0.43896318707400467,23.16889561222014,23.27974705343083,0.7628676409008412,0.5069728540111603
31,P04,拍照,494.41,494.91,191.5273499956103,0.06171528170709317,32.71785405987853,32.945770280761714,1.4074270774393602,1.0440133755838406
32,P01,拍照,508.41,508.91,99.90556169662477,0.2267882722784788,32.68369978981135,33.196351831645636,1.15089405900125,0.5702991794653427
33,P02,拍照,509.01,509.51,119.37094925994087,0.34821028253675584,29.158046691225334,29.553691523897324,0.8862650082692255,0.41370547310439765
34,S11,射击,515.81,517.31,142.19275393166552,0.3974844464027788,19.603611012871443,19.819180114400062,1.2050311071944424,0.3245963589575301
35,S10,射击,525.51,527.01,144.25021084990567,0.4666889148989732,16.66722287247433,17.488191094755095,1.0112471301190955,0.7922598126918287
36,P02,拍照,749.81,750.31,46.73889808131699,0.027365188438860894,37.709444415176634,37.76151323011029,1.4589522173417087,0.56161879995625
37,P05,拍照,750.41,750.91,88.54812312897536,0.14689995195744876,22.217630413358165,22.66644989761196,1.2796500720638269,0.28362835961002997
38,S15,射击,751.01,752.51,176.26769051373654,0.0011631127074206438,14.122072807350186,16.16268427802751,1.9976737745851587,0.6060930414718493
39,S13,射击,762.01,763.51,151.49344496542398,0.027313747965830117,27.578853173546808,29.317156300854247,1.913962412080918,1.2725609594052671
40,S12,射击,807.81,809.31,171.22736021162927,0.25019419045153257,23.612968886624262,23.745145238711686,1.1116770493362842,0.9548182444870457
