candidate_id,target_id,task,preparation_start_s,execution_time_s,angle_deg,normalized_margin,min_distance_m,max_distance_m,max_speed_mps,max_acceleration_mps2
0,S01,射击,476.5076193936855,478.0076193936855,34.953540154794716,0.008058810392333804,17.14102535763305,19.072978073379364,1.9838823792153324,1.1369738987379177
1,S01,射击,477.5076193936857,479.0076193936857,37.703658354012724,0.11584236088728672,15.696208431696505,17.770161867163527,1.7683152782254266,0.3860877562976437
2,S01,射击,478.5076193936859,480.0076193936859,40.82848146432554,0.11250271262765243,14.169326823002494,16.447965705150008,1.7749945747446951,0.43797669168665887
3,S01,射击,479.5076193936861,481.0076193936861,43.12706478442248,0.12576043918676405,12.817732323480392,14.926353145009728,1.748479121626472,0.4459810279612911
4,S01,射击,480.40761939368633,481.90761939368633,45.80058253013472,0.2496780900010641,11.938332092747949,13.591406314726562,1.5006438199978718,0.7434288656918581
5,S01,射击,480.5076193936864,482.0076193936864,46.26086964743633,0.2683373805506244,11.85745219375931,13.453220079711143,1.4633252388987512,0.810345636457169
6,S01,射击,480.6076193936864,482.1076193936864,46.76592669282092,0.27114287368690443,11.77857184217261,13.31842115493741,1.4221930042429967,0.8220642861732357
7,S01,射击,480.7076193936864,482.2076193936864,47.31874714260807,0.26803645361665873,11.700911340416468,13.187098321396336,1.4092431339067373,0.8601936820375523
8,S01,射击,480.8076193936864,482.3076193936864,47.92114190683322,0.2561487515246702,11.623915763367625,13.059796974201385,1.4877024969506596,0.8811480113298017
9,S01,射击,481.30761939368654,482.80761939368654,51.72476846139983,0.024498598548175377,11.226268874633366,12.487916043014408,1.9510028029036492,1.0003493536747603
10,S01,射击,492.107619393689,493.607619393689,123.17668128217329,0.049637967468753263,22.294406138247453,23.585148285591206,1.8993945029406911,1.42554304879687
11,S01,射击,492.8076193936892,494.3076193936892,122.1541539462872,0.24570652339895901,23.178758172567843,23.857336915026025,1.0176328276359425,1.1151466216825443
12,S01,射击,492.9076193936892,494.4076193936892,121.98733988003289,0.24332490066933474,23.256454363684153,23.91687748326663,0.9522022422552886,1.1151466216825443
13,S01,射击,493.0076193936892,494.5076193936892,121.8139024806428,0.2406263413717376,23.32443467824607,23.98434146570656,1.0287884329769668,0.9183692932288223
14,S01,射击,493.1076193936892,494.6076193936892,121.6334394707735,0.2375692290901904,23.38323475284073,24.06076927274524,1.118163488520754,0.9701028649849707
15,S01,射击,493.2076193936893,494.7076193936893,121.44615695473966,0.23414740087965655,23.43423404866913,24.146314978008586,1.2081009463850083,0.9701028649849707
16,S01,射击,494.0076193936894,495.5076193936894,119.72790106880088,0.005879733859645464,23.71837526511774,25.19428334631078,1.988240532280709,1.0635782566560619
17,S02,射击,476.5076193936855,478.0076193936855,30.581404552555036,0.008058810392333804,8.88489921996885,10.933937435024308,1.9838823792153324,1.1369738987379177
18,S02,射击,476.8076193936855,478.3076193936855,31.783638386366018,0.13854795468432526,8.463698867108132,10.475201859189983,1.7192389200635068,0.9054189227901801
